family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
armenija	armenija		jermenija	13.58	15.46	0.00	0.4676	1.0000		1.000	0	35		bs->alt
armenija	armenije		jermenije	10.86	11.89	0.00	0.4774	1.0000		0.679	0	28		bs->alt
armenija	armenijom		jermenijom	8.92	9.51	0.00	0.4840	1.0000		0.913	0	23		bs->alt
ashton	ashton		ešton	22.89	36.08	0.00	0.3882	1.0000		0.983	0	59		bs->alt
ashton	ashtonova		ešton	8.92	0.00	0.00	1.0000	1.0000		0.739	0	23		bs->alt
assada	assada		asada	10.86	11.10	0.00	0.4946	1.0000		0.786	0	28		bs->alt
atina	atina	atena		65.56	0.79	67.65	0.9881	0.4922	0.946		167	0	bs->alt	
atine	atine	atene		127.24	0.79	129.43	0.9938	0.4957	0.923		326	0	bs->alt	
atini	atini	ateni		174.57	0.00	170.49	1.0000	0.5059	0.891		450	0	bs->alt	
atinu	atinu	atenu		17.85	0.00	19.16	1.0000	0.4822	0.913		46	0	bs->alt	
atomstroyexport	atomstroyexport		atomstrojeksport	9.70	9.91	0.00	0.4946	1.0000		0.920	0	25		bs->alt
august	august	kolovoza	avgust	135.00	0.79	0.39	0.9942	0.9971	0.782	0.658	348	348	bs->alt	bs->alt
august	augusta	kolovoza		173.02	0.00	0.00	1.0000	1.0000	0.942		446	0	bs->alt	
august	augustu	kolovozu		43.84	0.00	0.00	1.0000	1.0000	0.947		113	0	bs->alt	
avio	avio	zrakoplovna		55.86	1.59	5.47	0.9724	0.9108	0.606		33	0	alt->bs	
ayhan	ayhan		ajhan	44.61	45.99	0.00	0.4924	1.0000		0.991	0	115		bs->alt
babacan	babacan		babačan	53.15	55.90	0.00	0.4874	1.0000		0.942	0	137		bs->alt
baconschi	baconschi		bakonši	10.86	11.50	0.00	0.4858	1.0000		0.929	0	28		bs->alt
bakoyannisova	bakoyannisova		bakojani	13.97	0.00	0.00	1.0000	1.0000		0.611	0	36		bs->alt
bancroft	bancroft		bankroft	14.74	15.46	0.00	0.4881	1.0000		0.974	0	38		bs->alt
barrot	barroso		barozo	61.29	64.22	0.00	0.4883	1.0000		0.842	0	158		bs->alt
barrot	barrot		baro	10.09	9.91	0.00	0.5044	1.0000		0.962	0	26		bs->alt
basescu	basescu		basesku	110.95	114.97	0.00	0.4911	1.0000		0.689	0	286		bs->alt
basescu	basescua		baseskua	28.71	25.77	0.00	0.5270	1.0000		0.608	0	74		bs->alt
benedikt	benedikt	benedict		9.31	0.00	8.99	1.0000	0.5087	0.958		24	0	bs->alt	
bengaziju	bengaziju	benghaziu		13.19	0.00	13.29	1.0000	0.4980	0.588		34	0	bs->alt	
beqaj	beqaj		bećaj	14.74	15.06	0.00	0.4946	1.0000		1.000	0	38		bs->alt
beqiri	beqiri		bećiri	28.71	28.94	0.39	0.4980	0.9866		0.973	0	73		bs->alt
berisha	berisha		beriša	142.76	152.63	0.78	0.4833	0.9946		0.989	0	366		bs->alt
berisha	berishom		berišom	15.52	15.86	0.00	0.4946	1.0000		0.925	0	40		bs->alt
berlusconi	berlusconi		berluskoni	8.92	9.51	0.00	0.4840	1.0000		1.000	0	23		bs->alt
berze	berze	burze		11.25	0.00	13.29	1.0000	0.4584	0.793		29	0	bs->alt	
bezbjedno	bezbjedno		bezbedno	12.03	0.00	0.00	1.0000	1.0000		0.677	0	31		bs->alt
bezbjedno	bezbjednost		bezbednost	38.79	0.00	0.00	1.0000	1.0000		0.670	0	100		bs->alt
biden	biden		bajden	19.40	20.61	0.00	0.4848	1.0000		0.960	0	50		bs->alt
bijegu	bijegu		bekstvu	17.85	29.34	0.00	0.3782	1.0000		0.761	0	46		bs->alt
bijele	bijele		bele	12.03	13.48	0.00	0.4715	1.0000		0.774	0	31		bs->alt
bijele	bijelu		belu	8.92	7.93	0.00	0.5295	1.0000		0.826	0	23		bs->alt
bijes	bijes		gnev	12.03	9.12	0.00	0.5688	1.0000		0.548	0	31		bs->alt
bildt	bildt		bilt	17.07	18.63	0.00	0.4781	1.0000		1.000	0	44		bs->alt
bit	bit		biće	394.92	626.76	1.17	0.3865	0.9970		0.686	0	1017		bs->alt
bjegunca	bjegunaca		begunaca	22.50	20.22	0.00	0.5267	1.0000		0.710	0	31		alt->bs
bjegunca	bjegunca		begunca	13.58	10.70	0.00	0.5592	1.0000		0.629	0	35		bs->alt
bježe	bježe		beže	9.31	7.53	0.00	0.5528	1.0000		0.917	0	24		bs->alt
boc	boc		bok	25.22	26.16	0.00	0.4908	1.0000		0.985	0	65		bs->alt
boyka	boyka		bojka	9.70	10.31	0.00	0.4848	1.0000		0.920	0	25		bs->alt
boyko	boyko		bojko	29.48	30.13	0.00	0.4946	1.0000		0.947	0	76		bs->alt
brajshori	brajshori		brajšori	39.57	40.83	0.39	0.4921	0.9902		1.000	0	101		bs->alt
brammertz	brammertz		bramerc	38.79	42.02	0.00	0.4800	1.0000		0.950	0	100		bs->alt
brisel	brisel	brussels		94.27	0.00	95.41	1.0000	0.4970	0.712		243	0	bs->alt	
brisel	brisela	brusselsa		32.59	0.00	33.24	1.0000	0.4951	0.429		84	0	bs->alt	
brisel	briselom	brusselsom		20.17	0.00	21.12	1.0000	0.4886	0.731		52	0	bs->alt	
brisel	briselu	brusselsu		210.26	0.79	219.37	0.9962	0.4894	0.704		540	0	bs->alt	
bronzu	bronzane	odličja		8.92	0.00	11.34	1.0000	0.4404	0.957		23	0	bs->alt	
bronzu	bronzanu	brončano		12.80	0.00	23.85	1.0000	0.3493	0.818		33	0	bs->alt	
bronzu	bronzu	odličje		15.13	0.00	5.08	1.0000	0.7485	0.667		39	0	bs->alt	
budžet	budžet	proračun		93.11	0.79	109.49	0.9916	0.4596	0.799		239	0	bs->alt	
budžet	budžeta	proračuna		90.78	0.40	86.81	0.9957	0.5112	0.815		233	0	bs->alt	
budžet	budžetske	proračunske		10.86	0.00	10.17	1.0000	0.5165	0.571		28	0	bs->alt	
budžet	budžetski	proračunski		37.24	0.00	48.88	1.0000	0.4324	0.740		96	0	bs->alt	
budžetskih	budžetskih	proračunskih		13.97	0.00	9.38	1.0000	0.5981	0.583		36	0	bs->alt	
budžetskih	budžetskim	proračunskim		8.53	0.00	10.17	1.0000	0.4564	0.545		22	0	bs->alt	
budžetskih	budžetskog	proračunskog		20.95	0.00	21.51	1.0000	0.4934	0.667		54	0	bs->alt	
buhler	buhler		buler	12.03	12.29	0.00	0.4946	1.0000		0.903	0	31		bs->alt
bush	bush		buš	46.16	49.95	0.39	0.4803	0.9916		1.000	0	118		bs->alt
busha	busha		buša	9.70	9.12	0.00	0.5154	1.0000		0.880	0	25		bs->alt
buyukanit	buyukanit		bujukanit	9.70	9.91	0.00	0.4946	1.0000		0.920	0	25		bs->alt
bytyci	bytyci		bitići	23.28	24.58	0.00	0.4864	1.0000		1.000	0	60		bs->alt
catherine	catherine		ketrin	24.05	24.18	0.00	0.4987	1.0000		0.935	0	62		bs->alt
centralne	centralne	središnje		104.74	0.40	104.01	0.9962	0.5018	0.730		270	0	bs->alt	
centralne	centralnoj	središnjoj		53.15	0.40	55.92	0.9926	0.4873	0.752		137	0	bs->alt	
centralne	centralnu	središnju		29.48	0.00	23.46	1.0000	0.5569	0.592		76	0	bs->alt	
christie	christie		kristi	16.68	17.05	0.00	0.4946	1.0000		0.953	0	43		bs->alt
christie	christofias		kristofijas	67.50	68.98	0.00	0.4946	1.0000		0.885	0	174		bs->alt
christofiasa	christofiasa		kristofijasa	12.80	13.88	0.00	0.4799	1.0000		0.848	0	33		bs->alt
christofiasa	christofiasom		kristofijasom	14.35	14.67	0.00	0.4946	1.0000		0.919	0	37		bs->alt
christie	christos		kristos	16.68	17.05	0.00	0.4946	1.0000		0.930	0	43		bs->alt
cijele	cijele		cele	57.80	56.69	0.00	0.5049	1.0000		0.633	0	90		alt->bs
cijele	cijeli		ceo	78.36	38.06	0.00	0.6731	1.0000		0.638	0	47		alt->bs
cijele	cijelo		celokupno	22.50	11.89	0.00	0.6542	1.0000		0.615	0	26		alt->bs
