family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
cijele	cijelog		celog	83.02	63.03	0.00	0.5684	1.0000		0.498	0	213		bs->alt
cijele	cijeloj		celokupnoj	44.61	37.26	0.00	0.5449	1.0000		0.528	0	36		alt->bs
cijele	cijelom		celom	55.09	26.56	0.00	0.6747	1.0000		0.441	0	34		alt->bs
cijele	cijelu		celu	37.63	34.09	0.00	0.5247	1.0000		0.589	0	56		alt->bs
cijena	cijena		cena	195.52	197.82	0.00	0.4971	1.0000		0.671	0	504		bs->alt
cijena	cijenama		cenama	23.28	20.22	0.00	0.5352	1.0000		0.550	0	60		bs->alt
cijena	cijene		cene	156.73	169.28	0.00	0.4808	1.0000		0.710	0	404		bs->alt
cijena	cijeni		ceni	32.97	34.49	0.00	0.4888	1.0000		0.624	0	85		bs->alt
cijena	cijenu		cenu	68.28	75.32	0.00	0.4755	1.0000		0.648	0	176		bs->alt
ciocoiu	ciocoiu		pol	69.83	71.36	0.78	0.4946	0.9889		0.888	0	178		bs->alt
cjelini	cjelini		celini	60.13	22.99	0.00	0.7234	1.0000		0.838	0	37		alt->bs
clinton	clinton		klinton	34.14	62.24	0.00	0.3542	1.0000		0.977	0	88		bs->alt
clinton	clintonova		klintonova	20.95	0.00	0.00	1.0000	1.0000		0.648	0	54		bs->alt
cristian	cristian		kristijan	14.35	15.46	0.39	0.4814	0.9735		0.972	0	36		bs->alt
davis	davis		dejvis	10.86	11.10	0.00	0.4946	1.0000		0.964	0	28		bs->alt
decembar	decembar	prosinca		127.63	0.00	60.22	1.0000	0.6794	0.717		329	0	bs->alt	
decembar	decembra	prosinca		294.83	0.00	369.52	1.0000	0.4438	0.971		760	0	bs->alt	
decembar	decembru	prosincu		121.04	0.00	119.26	1.0000	0.5037	0.939		312	0	bs->alt	
decenija	decenija	desetljeća		22.50	0.00	24.24	1.0000	0.4814	0.724		58	0	bs->alt	
decenija	decenijama	desetljećima		17.46	0.00	14.08	1.0000	0.5536	0.622		45	0	bs->alt	
decenija	decenije	desetljeća		87.67	0.00	74.69	1.0000	0.5400	0.708		226	0	bs->alt	
decenija	deceniji	desetljeću		8.92	0.00	16.42	1.0000	0.3520	0.522		23	0	bs->alt	
decenija	deceniju	desetljeće		14.74	0.00	9.78	1.0000	0.6013	0.711		38	0	bs->alt	
definira	definira		definiše	8.53	14.27	0.00	0.3742	1.0000		0.545	0	22		bs->alt
dejtonski	dejtonski	daytonski		20.56	0.00	22.68	1.0000	0.4755	0.792		53	0	bs->alt	
dejtonski	dejtonskim	daytonskim		10.86	0.00	14.08	1.0000	0.4356	0.786		28	0	bs->alt	
delegaciju	delegaciju	izaslanstvo		13.97	0.40	13.69	0.9724	0.5051	0.722		36	0	bs->alt	
demokratija	demokratija	demokracija		53.92	0.00	53.57	1.0000	0.5016	0.777		139	0	bs->alt	
demokratija	demokratije	demokracije		101.25	0.00	97.37	1.0000	0.5098	0.801		261	0	bs->alt	
demokratija	demokratiji	demokraciji		24.44	0.00	24.63	1.0000	0.4980	0.698		63	0	bs->alt	
demokratija	demokratiju	demokraciju		60.52	0.00	67.26	1.0000	0.4736	0.801		156	0	bs->alt	
demonstrante	demonstrante	prosvjednike		8.15	0.00	10.56	1.0000	0.4356	0.714		21	0	bs->alt	
desilo	desilo	događalo		57.80	0.79	40.67	0.9865	0.5870	0.476		21	0	alt->bs	
dicka	dicka		dika	10.86	10.70	0.00	0.5037	1.0000		0.929	0	28		bs->alt
dijela	dijela		dela	55.48	61.84	0.00	0.4729	1.0000		0.545	0	143		bs->alt
dijela	dijele		dele	24.44	34.49	0.00	0.4147	1.0000		0.683	0	63		bs->alt
dijela	dijeli		deli	27.54	34.09	0.00	0.4469	1.0000		0.718	0	71		bs->alt
dijela	dijelom		delom	77.20	46.38	0.00	0.6247	1.0000		0.451	0	91		alt->bs
dijela	dijelova		delova	27.16	45.19	0.00	0.3753	1.0000		0.671	0	70		bs->alt
dijela	dijelove		delove	30.65	38.06	0.00	0.4461	1.0000		0.709	0	79		bs->alt
dijela	dijelovi		delovi	22.50	28.54	0.00	0.4408	1.0000		0.707	0	58		bs->alt
dijelovima	dijelovima		delovima	54.70	67.39	0.00	0.4480	1.0000		0.702	0	141		bs->alt
dijela	dijelu		delu	100.48	99.90	0.00	0.5014	1.0000		0.579	0	259		bs->alt
dijete	dijete		dete	38.02	38.85	0.00	0.4946	1.0000		0.837	0	98		bs->alt
dio	dio		deo	359.62	540.74	0.00	0.3994	1.0000		0.800	0	927		bs->alt
dionica	dionica		deonica	36.08	58.67	0.00	0.3808	1.0000		0.484	0	93		bs->alt
dionica	dionice		deonice	18.62	34.49	0.00	0.3506	1.0000		0.583	0	48		bs->alt
diplomatija	diplomatija	diplomacija		9.31	0.00	19.55	1.0000	0.3226	0.792		24	0	bs->alt	
direktan	direkcija	ravnateljstvo		8.53	0.00	10.95	1.0000	0.4380	0.773		22	0	bs->alt	
